Change Component Footprint: Designator=U2 Old Footprint=DCY0004A_M New Footprint=DCY0004A_N
Change Component Comment : Designator=U2 Old Comment=TLV1117LV33DCYT New Comment=TLV1117LV33DCYR
Change Managed Component Library Link : Designator=U2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=0CA3D43F-9C0D-465E-ACC8-037C792E0AFD New ItemGUID=8A2CB2F0-C13A-479F-AADE-2F25AEE895E8 Old RevisionGUID=B13C027C-A765-4A64-A307-4971A995DA29 New RevisionGUID=0FD1A707-ED41-4CF8-A760-4A2AFE2EA485
Change component parameters: Designator = "U2" ("U2"); Footprint = "DCY0004A_M"; UniqueID = "\BJHNLYOQ" ("\BJHNLYOQ")
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.11inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "6.3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "6.3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "6.3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "2.5mm"; VariantName = "[No Variations]"
Added Component: Designator=C?(FP-C0603C-CF-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive Grade"; Value = "Grade 1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.10 µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://api.kemet.com/component-edge/download/datasheet/C0603C100J5GACAUTO.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.87mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C104K5RAC7082"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0603c104k5rac7082-kemet-75146597"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "C0603C-CF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Characteristic"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "30ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0.1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.10 µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50 V"; VariantName = "[No Variations]"
Add Component: Footprint Not Found CAPC3225X280
Add Component: Footprint Not Found SAMTEC-FTSH-107-01-X-DV
Add Component: Footprint Not Found 1660
Added Component: Designator=J3(031543110RFX)
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA15/760686.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Geometry.Height"; Value = "15.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "Amphenol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "031-5431-10RFX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "523-31-5431-10RFX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Amphenol-RF/031-5431-10RFX?qs=py4qCovljJ8doXL0muNs1w%3D%3D"; VariantName = "[No Variations]"
Added Component: Designator=J4(031543110RFX)
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA15/760686.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Geometry.Height"; Value = "15.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "Amphenol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "031-5431-10RFX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "523-31-5431-10RFX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Amphenol-RF/031-5431-10RFX?qs=py4qCovljJ8doXL0muNs1w%3D%3D"; VariantName = "[No Variations]"
Added Component: Designator=J5(031543110RFX)
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA15/760686.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Geometry.Height"; Value = "15.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "Amphenol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "031-5431-10RFX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "523-31-5431-10RFX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Amphenol-RF/031-5431-10RFX?qs=py4qCovljJ8doXL0muNs1w%3D%3D"; VariantName = "[No Variations]"
Added Component: Designator=J6(031543110RFX)
Add component (AddParameter): Name = "Datasheet Link"; Value = "https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA15/760686.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Geometry.Height"; Value = "15.6mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Name"; Value = "Amphenol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer_Part_Number"; Value = "031-5431-10RFX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Part Number"; Value = "523-31-5431-10RFX"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Price/Stock"; Value = "https://www.mouser.co.uk/ProductDetail/Amphenol-RF/031-5431-10RFX?qs=py4qCovljJ8doXL0muNs1w%3D%3D"; VariantName = "[No Variations]"
Added Component: Designator=R?(FP-CRCW0603-e3-MFG)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "1608"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "0.85mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.45mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "1.55mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "10"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "100mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "1kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "75V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "75V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "7.1E-05oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.033inch"; VariantName = "[No Variations]"
Added Pin To Net: NetName=+3.3V Pin=C?-1
Added Pin To Net: NetName=+3.3V Pin=C?-1
Added Pin To Net: NetName=+5V Pin=C?-1
Added Pin To Net: NetName=+5V Pin=C?-1
Added Pin To Net: NetName=+5V Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=VBUS Pin=C?-1
Added Pin To Net: NetName=VBUS Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Add Pin To Net: Unknown Pin: Pin H1-3
Add Pin To Net: Unknown Pin: Pin H1-4
Add Pin To Net: Unknown Pin: Pin H1-5
Add Pin To Net: Unknown Pin: Pin H1-6
Add Pin To Net: Unknown Pin: Pin H1-7
Add Pin To Net: Unknown Pin: Pin H1-8
Add Pin To Net: Unknown Pin: Pin H1-11
Add Pin To Net: Unknown Pin: Pin H1-12
Add Pin To Net: Unknown Pin: Pin H1-13
Add Pin To Net: Unknown Pin: Pin H1-14
Add Pin To Net: Unknown Pin: Pin J1-1
Add Pin To Net: Unknown Pin: Pin J1-2
Add Pin To Net: Unknown Pin: Pin J1-3
Add Pin To Net: Unknown Pin: Pin J1-4
Add Pin To Net: Unknown Pin: Pin J1-5
Add Pin To Net: Unknown Pin: Pin J1-6
Add Pin To Net: Unknown Pin: Pin J1-7
Add Pin To Net: Unknown Pin: Pin J1-8
Add Pin To Net: Unknown Pin: Pin J1-9
Add Pin To Net: Unknown Pin: Pin J1-10
Add Pin To Net: Unknown Pin: Pin J1-11
Add Pin To Net: Unknown Pin: Pin J1-12
Added Pin To Net: NetName=GND Pin=J3-1
Added Pin To Net: NetName=NetJ3_2 Pin=J3-2
Added Pin To Net: NetName=GND Pin=J4-1
Added Pin To Net: NetName=NetJ4_2 Pin=J4-2
Added Pin To Net: NetName=GND Pin=J5-1
Added Pin To Net: NetName=NetJ5_2 Pin=J5-2
Added Pin To Net: NetName=GND Pin=J6-1
Added Pin To Net: NetName=NetJ6_2 Pin=J6-2
Added Member To Class: ClassName=MCU Member=Component C? C1210C476M9PACTU
Added Member To Class: ClassName=power Member=Component C? C1210C107M9PACTU
Added Member To Class: ClassName=power Member=Component C? C1210C107M9PACTU
Added Member To Class: ClassName=power Member=Component C? C1210C107M9PACTU
Added Member To Class: ClassName=power Member=Component C? C1210C476M9PACTU
Added Member To Class: ClassName=power Member=Component C? C1210C476M9PACTU
Added Member To Class: ClassName=power Member=Component C? C0603C104K5RAC7082
